"trip_id","start_time","end_time","bikeid","tripduration","from_station_id","from_station_name","to_station_id","to_station_name","usertype","gender","birthyear"
"13518778","2017-03-31 22:05:06","2017-03-31 22:21:47","1454","1001","172","Rush St & Cedar St","331","Halsted St & Blackhawk St (*)","Customer","",""
"13518777","2017-03-31 22:04:58","2017-03-31 22:22:00","3133","1022","172","Rush St & Cedar St","331","Halsted St & Blackhawk St (*)","Customer","",""
"13518776","2017-03-31 22:03:54","2017-03-31 22:13:04","269","550","69","Damen Ave & Pierce Ave","509","Troy St & North Ave","Subscriber","Male","1982"
"13518775","2017-03-31 22:03:44","2017-03-31 22:08:23","4875","279","181","LaSalle St & Illinois St","24","Fairbanks Ct & Grand Ave","Subscriber","Female","1987"
"13518774","2017-03-31 22:03:39","2017-03-31 22:07:45","2028","246","174","Canal St & Madison St","44","State St & Randolph St","Subscriber","Male","1977"
"13518773","2017-03-31 22:02:44","2017-03-31 22:32:42","1542","1798","337","Clark St & Chicago Ave","376","Artesian Ave & Hubbard St","Subscriber","Male","1987"
"13518772","2017-03-31 22:02:33","2017-03-31 22:16:00","5559","807","505","Winchester Ave & Elston Ave","289","Wells St & Concord Ln","Subscriber","Male","1990"
"13518771","2017-03-31 22:02:23","2017-03-31 22:37:31","5453","2108","2","Buckingham Fountain","2","Buckingham Fountain","Customer","",""
"13518770","2017-03-31 22:01:55","2017-03-31 22:11:12","2098","557","425","Harper Ave & 59th St","423","University Ave & 57th St","Subscriber","Male","1996"
"13518769","2017-03-31 22:01:53","2017-03-31 22:09:16","2650","443","425","Harper Ave & 59th St","426","Ellis Ave & 60th St","Subscriber","Female","1998"
"13518768","2017-03-31 22:01:25","2017-03-31 22:37:31","5003","2166","2","Buckingham Fountain","2","Buckingham Fountain","Customer","",""
"13518767","2017-03-31 22:01:22","2017-03-31 22:22:26","2656","1264","198","Green St & Madison St","288","Larrabee St & Armitage Ave","Subscriber","Male","1979"
"13518766","2017-03-31 22:01:15","2017-03-31 22:04:12","3928","177","225","Halsted St & Dickens Ave","144","Larrabee St & Webster Ave","Subscriber","Male","1983"
"13518765","2017-03-31 22:01:13","2017-03-31 22:05:12","2008","239","603","Chicago Ave & Sheridan Rd","604","Sheridan Rd & Noyes St (NU)","Subscriber","Male","1997"
"13518764","2017-03-31 22:01:02","2017-03-31 22:04:12","5153","190","225","Halsted St & Dickens Ave","144","Larrabee St & Webster Ave","Subscriber","Female","1993"
"13518763","2017-03-31 22:00:57","2017-03-31 22:21:36","4226","1239","291","Wells St & Evergreen Ave","32","Racine Ave & Congress Pkwy","Subscriber","Male","1988"
